URL_ID,Turnout_Percentage,liczba_uprawnionych,liczba_kart_wydanych_lacznie,liczba_glosow_waznych_na_kandydatow
1483183,86.23157894736842,2375.0,2048.0,2009.0
1483184,80.32786885245902,2318.0,1862.0,1846.0
1483185,85.12283894449499,2198.0,1871.0,1858.0
1483186,83.45269506219374,2653.0,2214.0,2191.0
1483190,77.3746432939258,2453.0,1898.0,1876.0
1483200,77.52721617418351,2572.0,1994.0,1977.0
1483250,86.84843624699278,2494.0,2166.0,2145.0
1483255,88.43873517786561,2024.0,1790.0,1771.0
1483257,88.0865224625624,3005.0,2647.0,2610.0
1483260,89.49903660886321,2076.0,1858.0,1839.0
1483266,87.96664019062749,2518.0,2215.0,2184.0
1483289,94.82158398607484,2298.0,2179.0,2149.0
1483302,88.07296538821329,2138.0,1883.0,1865.0
1483309,87.81070745697896,2092.0,1837.0,1825.0
1483310,90.08373732921991,2269.0,2044.0,2029.0
1483312,89.64143426294821,2510.0,2250.0,2227.0
1483314,91.97341513292432,1956.0,1799.0,1763.0
1483316,90.5982905982906,2106.0,1908.0,1882.0
1483317,89.33966335779024,2317.0,2070.0,2047.0
1483318,91.25295508274232,2115.0,1930.0,1911.0
1483319,86.55070004242681,2357.0,2040.0,2018.0
1483322,81.81506849315069,2920.0,2389.0,2366.0
1483323,90.66728884741018,2143.0,1943.0,1925.0
1483347,86.08964451313756,2588.0,2228.0,2204.0
1483348,88.25995807127882,2385.0,2105.0,2084.0
1483361,87.22780569514238,2388.0,2083.0,2057.0
1483401,90.1012891344383,2172.0,1957.0,1941.0
1483404,89.07863383637807,2518.0,2243.0,2227.0
1483411,89.92805755395683,2363.0,2125.0,2108.0
1483412,90.36082474226804,1940.0,1753.0,1738.0
1483424,85.43508608655188,2149.0,1836.0,1823.0
1483427,87.51018191691556,3683.0,3223.0,3180.0
1483440,87.77903897086644,2643.0,2320.0,2283.0
1483445,80.19120458891014,2615.0,2097.0,2078.0
1483448,81.27280097284151,2467.0,2005.0,1984.0
1483449,84.67680608365019,2630.0,2227.0,2194.0
1483455,81.34991119005328,2252.0,1832.0,1814.0
1483456,83.86855862584018,2678.0,2246.0,2221.0
1483459,67.74658027357812,2778.0,1882.0,1860.0
1483460,87.57078986587183,3355.0,2938.0,2906.0
1483463,92.08711433756804,2755.0,2537.0,2503.0
1483464,81.70681910984075,2449.0,2001.0,1978.0
1483474,86.02386934673368,3184.0,2739.0,2704.0
1483475,79.16241062308478,2937.0,2325.0,2304.0
1483479,79.60501329282188,2633.0,2096.0,2076.0
1483485,82.4582338902148,2514.0,2073.0,2049.0
1483493,79.46353730092206,2386.0,1896.0,1869.0
1483496,88.45478489903425,2278.0,2015.0,1997.0
1483497,87.84425451092119,2106.0,1850.0,1829.0
1483508,87.64623303696771,2137.0,1873.0,1850.0
1483513,83.10756972111554,2510.0,2086.0,2062.0
1483514,85.97442851607904,2581.0,2219.0,2197.0
1483516,82.38636363636364,2640.0,2175.0,2146.0
1483517,83.4903882397286,2653.0,2215.0,2188.0
1483518,88.558256496228,2386.0,2113.0,2095.0
1483519,90.0986031224322,2434.0,2193.0,2167.0
1483520,92.04599904168664,2087.0,1921.0,1895.0
1483521,93.8288920056101,2139.0,2007.0,1992.0
1483524,84.51668092386655,2338.0,1976.0,1956.0
1483525,83.55989804587935,2354.0,1967.0,1940.0
1484066,23.66412213740458,131.0,31.0,31.0
1484067,25.0,24.0,6.0,6.0
1484195,24.59016393442623,122.0,30.0,30.0
1484197,92.3076923076923,26.0,24.0,24.0
1484382,25.0,64.0,16.0,16.0
1484452,13.043478260869565,69.0,9.0,9.0
1484499,100.0,31.0,31.0,30.0
1484501,18.461538461538463,65.0,12.0,12.0
1484640,100.0,33.0,33.0,30.0
1484679,6.521739130434782,46.0,3.0,3.0
1484826,100.0,22.0,22.0,21.0
1484865,12.698412698412698,63.0,8.0,8.0
1484901,27.27272727272727,22.0,6.0,6.0
1484919,100.0,25.0,25.0,24.0
1484966,15.254237288135592,59.0,9.0,9.0
1484997,77.22419928825623,2529.0,1953.0,1934.0
1485034,77.66871165644172,2445.0,1899.0,1893.0
1485055,100.0,6.0,6.0,6.0
1485059,100.0,25.0,25.0,25.0
1485062,97.87234042553192,47.0,46.0,46.0
1485065,21.153846153846157,52.0,11.0,10.0
1485586,37.93103448275862,29.0,11.0,11.0
